Full Name,Email,Phone Number,Left Date,Department,Position,Company
Khalifah Al-Anazi,khalifah.al-anazi@example.com,52212380,05/03/2025,Product Management,Product Manager,STC
Sultan Al-Ghamdi,sultan.al-ghamdi@example.com,52918630,4/22/2025,Engineering,IT Specialist,Saudi Ports Authority
Talha Al-Juhani,talha.al-juhani@example.com,55115291,4/22/2025,Information Technology,IT Specialist,Saudi Telecom Company
Faisal Al-Anazi,faisal.al-anazi@example.com,51017299,4/13/2025,Legal,Procurement Specialist,Saudi Electricity Company
Talal Al-Asmari,talal.al-asmari@example.com,52245408,04/01/2025,Procurement,Training Specialist,Alinma Bank
Sultan Al-Buhairi,sultan.al-buhairi@example.com,52508121,3/31/2025,Engineering,Product Manager,SABIC
Mishal Al-Asmari,mishal.al-asmari@example.com,57915382,3/27/2025,Logistics,Engineer,National Commercial Bank
Bader Al-Zahrani,bader.al-zahrani@example.com,58661117,3/17/2025,Legal,Operations Specialist,Saudia
Hisham Al-Othman,hisham.al-othman@example.com,55738923,03/04/2025,Research and Development,Sales Representative,National Commercial Bank
Ammar Al-Dosari,ammar.al-dosari@example.com,52003041,2/27/2025,Procurement,Marketing Specialist,Mobily
Saleh Al-Qahtani,saleh.al-qahtani@example.com,55948143,1/25/2025,Business Development,Senior Engineer,Saudi Electricity Company
Zaid Al-Dosari,zaid.al-dosari@example.com,53371355,1/23/2025,Logistics,Accountant,STC
Saeed Al-Harbi,saeed.al-harbi@example.com,58340417,1/15/2025,Logistics,Procurement Specialist,National Commercial Bank
Khalid Al-Saud,khalid.al-saud@example.com,56091805,01/06/2025,Operations,Marketing Specialist,Saudi Electricity Company
Saif Al-Buhairi,saif.al-buhairi@example.com,53696147,12/22/2024,Sales,Support Specialist,Saudi Aramco
Sultan Al-Harbi,sultan.al-harbi@example.com,55316435,12/16/2024,Logistics,Training Specialist,National Commercial Bank
Adel Al-Subaie,adel.al-subaie@example.com,55532719,12/09/2024,Finance,Customer Success Manager,Mobily
Rashed Al-Mutairi,rashed.al-mutairi@example.com,51803480,12/06/2024,Operations,Senior Manager,National Commercial Bank
Hani Al-Shammari,hani.al-shammari@example.com,59475468,11/29/2024,Legal,HR Specialist,Saudi Airlines
Jaber Al-Zahrani,jaber.al-zahrani@example.com,58602034,11/25/2024,Product Management,Marketing Specialist,Saudi Ports Authority
Saleh Al-Otaibi,saleh.al-otaibi@example.com,54489883,11/09/2024,Quality Assurance,Senior Engineer,STC
Yousef Al-Rashid,yousef.al-rashid@example.com,53214214,11/05/2024,Training,Customer Success Manager,Alinma Bank
Hani Al-Qahtani,hani.al-qahtani@example.com,56816081,10/31/2024,Marketing,Marketing Specialist,Saudi Electricity Company
Abdulaziz Al-Othman,abdulaziz.al-othman@example.com,59743259,10/29/2024,Sales,Training Specialist,Alinma Bank
Abdullah Al-Harbi,abdullah.al-harbi@example.com,52152890,9/29/2024,Legal,Senior Engineer,SABIC
Abdulaziz Al-Zahrani,abdulaziz.al-zahrani@example.com,55659061,9/16/2024,Logistics,Training Specialist,Saudia
Abdulaziz Al-Sharif,abdulaziz.al-sharif@example.com,56422955,09/10/2024,Business Development,IT Specialist,Alinma Bank
Muath Al-Harbi,muath.al-harbi@example.com,51367788,8/31/2024,Marketing,Marketing Specialist,Almarai
Adel Al-Juhani,adel.al-juhani@example.com,55152957,8/22/2024,Procurement,Business Analyst,SABIC
Ayman Al-Qahtani,ayman.al-qahtani@example.com,55415301,8/13/2024,Quality Assurance,Business Analyst,Al Rajhi Bank
Bader Al-Dosari,bader.al-dosari@example.com,52880161,08/06/2024,Research and Development,IT Specialist,Saudi Ports Authority
Turki Al-Dosari,turki.al-dosari@example.com,56099988,08/04/2024,Research and Development,Customer Success Manager,Saudi Ports Authority
Mansour Al-Khalid,mansour.al-khalid@example.com,59794062,7/31/2024,Human Resources,IT Specialist,STC
Saeed Al-Subaie,saeed.al-subaie@example.com,57692717,07/07/2024,Customer Success,Marketing Specialist,Alinma Bank
Omar Al-Harbi,omar.al-harbi@example.com,59654376,07/04/2024,Human Resources,Legal Advisor,Alinma Bank
Yousef Al-Saud,yousef.al-saud@example.com,57636963,06/10/2024,Customer Support,Assistant Manager,Almarai
Bader Al-Otaibi,bader.al-otaibi@example.com,51891729,06/06/2024,Finance,Business Analyst,National Commercial Bank
Anas Al-Mutairi,anas.al-mutairi@example.com,56656463,5/18/2024,Research and Development,Procurement Specialist,Saudi Airlines
Jaber Al-Mutairi,jaber.al-mutairi@example.com,56165643,5/15/2024,Finance,Sales Representative,Ma’aden
Adel Al-Sharif,adel.al-sharif@example.com,52709805,05/11/2024,Marketing,Sales Representative,Al Rajhi Bank
Ammar Al-Khalid,ammar.al-khalid@example.com,51954906,05/03/2024,Research and Development,Sales Representative,STC
Zaid Al-Rashid,zaid.al-rashid@example.com,53483004,05/01/2024,Logistics,Manager,Saudia
Turki Al-Qahtani,turki.al-qahtani@example.com,54366318,4/21/2024,Training,Customer Success Manager,Saudi Electricity Company
Saleh Al-Otaibi,saleh.al-otaibi@example.com,53613558,04/10/2024,Sales,Business Analyst,Saudi Airlines
Saeed Al-Juhani,saeed.al-juhani@example.com,54611491,04/04/2024,Customer Support,Legal Advisor,Mobily
Omar Al-Harbi,omar.al-harbi@example.com,58047823,04/04/2024,Sales,Customer Success Manager,SABIC
Zaid Al-Subaie,zaid.al-subaie@example.com,56619622,3/29/2024,Human Resources,Support Specialist,National Commercial Bank
Saeed Al-Qahtani,saeed.al-qahtani@example.com,54516347,3/28/2024,Research and Development,Manager,Ma’aden
Riyadh Al-Harbi,riyadh.al-harbi@example.com,58229476,3/22/2024,Information Technology,Software Engineer,Saudi Aramco
Muath Al-Qahtan,muath.al-qahtan@example.com,55772131,3/15/2024,Human Resources,Senior Engineer,Saudi Telecom Company
Yahya Al-Juhani,yahya.al-juhani@example.com,57850411,03/08/2024,Product Management,Manager,SABIC
Hassan Al-Qahtani,hassan.al-qahtani@example.com,53539509,2/28/2024,Finance,Operations Specialist,National Commercial Bank
Anas Al-Buhairi,anas.al-buhairi@example.com,58252906,2/26/2024,Business Development,Senior Manager,Ma’aden
Jaber Al-Zahrani,jaber.al-zahrani@example.com,57787110,1/28/2024,Legal,IT Specialist,SABIC
Anas Al-Asmari,anas.al-asmari@example.com,59328043,01/09/2024,Logistics,Accountant,Saudi Aramco
Abdullah Al-Qahtan,abdullah.al-qahtan@example.com,57701652,01/06/2024,Research and Development,Legal Advisor,Alinma Bank
Abdulrahman Al-Buhairi,abdulrahman.al-buhairi@example.com,56157219,01/05/2024,Customer Success,Quality Assurance Engineer,Mobily
Talal Al-Rashid,talal.al-rashid@example.com,57928421,12/25/2023,Finance,Assistant Manager,National Commercial Bank
Khalifah Al-Dosari,khalifah.al-dosari@example.com,56743414,12/20/2023,Customer Support,Quality Assurance Engineer,Saudia
Mohammed Al-Harbi,mohammed.al-harbi@example.com,51604778,12/19/2023,Legal,Engineer,Saudi Ports Authority
Saif Al-Buhairi,saif.al-buhairi@example.com,52058056,12/13/2023,Training,Quality Assurance Engineer,STC
Sultan Al-Khalid,sultan.al-khalid@example.com,59604248,12/13/2023,Legal,Product Manager,Almarai
Saud Al-Khalid,saud.al-khalid@example.com,52767868,12/12/2023,Customer Success,HR Specialist,Saudia
Mazin Al-Rashid,mazin.al-rashid@example.com,55942120,12/01/2023,Information Technology,Customer Success Manager,Saudi Electricity Company
Zaid Al-Shammari,zaid.al-shammari@example.com,55091956,11/29/2023,Customer Success,Customer Success Manager,Saudi Electricity Company
Jaber Al-Ghamdi,jaber.al-ghamdi@example.com,55896105,11/09/2023,Customer Support,Software Engineer,Almarai
Khalifah Al-Ghamdi,khalifah.al-ghamdi@example.com,53912019,11/05/2023,Operations,Product Manager,Ma’aden
